Ticker,Model,RMSE,MAE,QLIKE,R2,AIC,BIC,Time_s,Best
HDFCBANK_NS,"GJR-GARCH(1,1)-t",0.1951174012085907,0.1530612532537244,0.6351448690963784,-0.4604241688227835,3506.7176176340804,3535.981394063065,0.9,
HDFCBANK_NS,HAR-RV,0.16493839973128707,0.11701101816762682,0.5418265556714704,-0.043591562048206134,,,0.6,*
HINDUNILVR_NS,"GARCH(1,1)-t",0.18137757318656553,0.13973477587803268,0.6437171709095176,-0.34660674989195606,3270.8208862885976,3295.2073666460847,0.6,
HINDUNILVR_NS,"EGARCH(1,1)-t",0.17438396757354252,0.13130413213019318,0.6256948719251276,-0.24476314848243352,3273.181813326771,3297.568293684258,0.5,
HINDUNILVR_NS,"GJR-GARCH(1,1)-t",0.18196930796338115,0.14049907025027714,0.6455090175219029,-0.3554075497386915,3272.8204378224746,3302.0842142514593,0.7,
HINDUNILVR_NS,HAR-RV,0.15796373978484565,0.10402949611752166,0.5698356185915694,-0.02138253555764602,,,0.5,*
ICICIBANK_NS,"GARCH(1,1)-t",0.16597287664696111,0.13287384644853886,0.577341721498733,-0.2652618492105405,3687.2843932674205,3711.6708736249075,0.6,
ICICIBANK_NS,"EGARCH(1,1)-t",0.16339140498292054,0.12969106365974462,0.5724937066904269,-0.22620924205936666,3683.976721038275,3708.363201395762,0.5,
ICICIBANK_NS,"GJR-GARCH(1,1)-t",0.17075381678693805,0.13525895089288656,0.581763727228026,-0.33920484168199305,3678.1368568418707,3707.4006332708555,0.6,
ICICIBANK_NS,HAR-RV,0.15340574704884086,0.11139005217218677,0.5316400733636383,-0.08090974058195144,,,0.5,*
INFY_NS,"GARCH(1,1)-t",0.18742038319221846,0.15653437027381611,0.5970475917412554,-0.41038489035889025,3655.9803134541653,3680.3667938116523,0.5,
INFY_NS,"EGARCH(1,1)-t",0.18186525119060348,0.15141275869934076,0.5863398715642008,-0.3280164580484297,3653.095413278208,3677.481893635695,0.5,
INFY_NS,"GJR-GARCH(1,1)-t",0.1899753351454714,0.15801372005340264,0.5993360889254844,-0.4491002867195302,3655.3001879849235,3684.5639644139083,0.6,
INFY_NS,HAR-RV,0.16131017642121878,0.12005260871524648,0.5244462694472599,-0.04478646084283122,,,0.5,*
KOTAKBANK_NS,"GARCH(1,1)-t",0.20829267003574736,0.15453991161656563,0.6218599126352702,-0.36687609393049225,3670.8066594159195,3695.1931397734065,0.7,
